Galaxy,logd25,PA,INC,vmaxg,session,mask (datapref)
NGC0001,1.2,110.47,48.84,146,1+36+38+55,Havexpand
NGC0014,1.18,23.1,55.7,35.2,57,Havexpand
NGC0169,1.18,92.5,69.8,278,2,Havexpand
NGC0776,1.13,50,18.3,60,4+37+40,Havexpand
NGC0932,1.3,40,24.4,90,55+57,Havexpand
NGC1056,1.27,162.5,46.7,124.2,56,Havexpand
NGC2449,1.16,135.5,73.7,101,2+33,Havexpand
NGC2540,1.094,123.3,60.4,153,7+48+59,Havexpand
NGC2596,1.14,63.9,74.2,203.2,all5,Havexpand
NGC2691,1.1,166,47.9,182,5+37+40,Havexpand
NGC3057,1.16,8,58.3,100,8,Havexpand
NGC3106,0.95,150,26,102,7+48,Havexpand
NGC3353,1.13,75.7,45.5,41.4,42+63,Havexpand
NGC3395,1.2,40.5,57.8,86.1,17+33,Havexpand
NGC3406NED01,1.16,84.4,62.3,150,44+62,Havexpand
NGC3614,1.4,87.7,47,131.5,14+48+50,Havexpand
NGC3619,1.59,25,42.4,165.1,15+67,Havexpand
NGC3896,1.15,128.4,55.4,110.6,42+60,Havexpand
NGC4003,1.02,159.7,65.2,150,32+46,Havexpand
NGC5157,1.12,115.5,35.4,241,43+60,Havexpand
NGC5216,1.23,54,83.9,150.1,25,Havexpand
NGC5267,1.19,53.3,75.1,69.8,50,Havexpand
NGC5376,1.17,66.3,54.8,135,19+33+34+60,Havexpand
NGC5402,1.05,166,81.2,122.2,45+50,Havexpand
NGC5631,1.29,150,0,165.4,18+65,Havexpand
NGC5720,1.28,132,52,194.8,14+49+53,Havexpand
NGC5888,1.12,156.7,54.6,150,20+21+67,Havexpand
NGC5929,0.96,38.2,24.4,111.8,51+62+64,Havexpand
NGC5954,1.01,19.2,63.6,111.4,20+46,Havexpand
NGC6132,1.11,126.5,79.9,154.6,18+49+67,Havexpand
NGC6150B,0.96,142.9,78.8,150,51+66,Havexpand
NGC6154,1.15,149.6,47.9,59.3,51+66,Havexpand
NGC6338,1.24,16,66,150,69,Havexpand
NGC6497,1.16,110.3,67.1,150,52+65,Havexpand
UGC01659,1.14,38,69.4,196,1+55+58,Havexpand
UGC01938,1.07,155,81.9,186.1,56+58,Havexpand
UGC02134,1.21,106,71.8,150,4+34+58,Havexpand
UGC02222,1.12,103,67.6,150,10,Havexpand
UGC02239,1.12,14,86.2,150,1+33,Havexpand
UGC03960,1.1,46.7,72.4,150,41,Havexpand
UGC04136,1.2,141.5,89.9,296,2+22+33+40,Havexpand
UGC04245,1.15,107.7,78.5,163,8+32+35+37,Havexpand
UGC04262,1.3,151.7,40.6,188,2+34+37,Havexpand
UGC04659,1.15,108.5,80,79,3+66,Havexpand
UGC04730,0.99,89.3,67.5,100,33+34,Havexpand
UGC05326,0.97,146.1,16.9,60,7+66,Havexpand
UGC05396,1.17,155.9,69.9,152.6,51+59,Havexpand
UGC08004,1.04,5.6,68.7,133.9,15+34+47,Havexpand
UGC08231,1.17,74.9,74.4,96.8,24+51+59,Havexpand
UGC08234,1.21,142.1,80.2,150,44+45,Havexpand
UGC08322,1.05,36.1,73,238.1,41+54,Havexpand
UGC08733,1.29,6.3,62.2,80.9,17+18+68,Havexpand
UGC08781,1.2,161.8,57.1,238.6,44+46+68,Havexpand
UGC09598,1.21,122.1,71.2,177,12+13+43,Havexpand
UGC09629,1.18,153.5,76.6,100,13+42,Havexpand
UGC10097,1.15,123.9,48.2,150,23+49+67,Havexpand
UGC10905,1.18,171.7,68.4,150,23+24+54,Havexpand
CGCG163-062,0.83,132,12,13.9,15+47+54,Havexpand
CGCG536-030,0.87,30.5,51.3,200,10,Havexpand
IC0674,1.14,121,85.3,241.9,34+53,Havexpand
IC3598,1.15,139.1,76,225.8,17+33+62+65,Havexpand
Mrk1418,0.82,15.8,35.6,47.1,41+67,block
