Galaxy,a,b,logL_CO,elogL_CO,logMmol (MW aco),aco (B13),aco (SL24),aco (T24*),tdep_MW,tdep_B13_Z,tdep_SL24,tdep_T24 ,e_tdep_MW,etdep_B13_Z ,etdep_SL24 ,etdep_T24 
NGC0001,-0.00397,0.101,9.26,0.17,9.9,3.77,3.64,1.95,2.1,1.82,1.76,0.94,0.28,0.25,0.25,0.15
NGC0014,0.0017,-0.146,6.88,0.74,7.52,4.85,6.37,5.94,0.95,1.05,1.39,1.29,0.25,0.28,0.37,0.36
NGC0169,-0.00286,0.0711,9.59,0.14,10.2,3.65,5.1,1.61,8.82,7.39,10.3,3.25,1.04,0.96,1.29,0.43
NGC0776,-0.00254,0.0831,9.24,0.09,9.87,3.85,3.77,2.26,2.56,2.27,2.22,1.33,0.46,0.4,0.39,0.27
NGC0932,-0.000521,-0.0331,8.84,0.28,9.48,4,4.56,1.88,7.05,6.48,7.38,3.04,1.31,1.19,1.35,0.64
NGC1056,-0.00219,-0.00685,8.18,0.51,8.81,4.01,4.79,2.06,0.61,0.56,0.67,0.29,0.1,0.1,0.12,0.05
NGC2449,-0.0036,0.0732,9.01,0.09,9.65,4.17,4.17,1.94,6.56,6.28,6.3,2.92,1.09,1.03,1.04,0.57
NGC2540,-0.00429,0.0726,9.2,0.13,9.84,4.31,4.58,1.89,2.45,2.43,2.58,1.07,0.47,0.46,0.49,0.25
NGC2596,-0.00778,0.185,9.19,0.3,9.83,3.04,3.52,4.02,1.17,0.82,0.95,1.08,0.19,0.13,0.16,0.16
NGC2691,-0.00297,0.0504,8.93,0.21,9.56,4.06,4.18,1.4,2.46,2.29,2.36,0.79,0.39,0.37,0.38,0.14
NGC3057,0.000182,-0.165,7.66,0.62,8.3,5.17,7.58,3.43,1.35,1.6,2.34,1.06,0.32,0.39,0.56,0.31
NGC3106,-0.000901,-0.017,8.84,0.26,9.48,4.29,4.83,2.54,4.41,4.36,4.89,2.57,1.2,1.19,1.33,0.73
NGC3353,0.00469,-0.307,7.03,0.42,7.66,5.36,9.23,4.97,0.1,0.12,0.21,0.11,0.03,0.03,0.06,0.03
NGC3395,-0.000502,-0.0821,7.98,0.36,8.62,4.58,5.84,2.38,0.63,0.66,0.84,0.34,0.12,0.13,0.16,0.08
NGC3406NED01,-0.00144,0.00597,9.1,0.4,9.74,3.95,4.29,3.17,84.3,76.4,82.9,61.2,16.8,15.3,16.7,14.2
NGC3614,-0.00161,-0.000114,8.74,0.39,9.38,3.76,4.36,1.48,4.32,3.74,4.32,1.47,0.67,0.55,0.63,0.31
NGC3619,0.0000423,-0.0353,7.38,0.5,8.02,2.95,3.26,3.91,1.91,1.3,1.43,1.72,0.5,0.32,0.35,0.48
NGC3896,-0.000233,-0.0891,6.68,0.43,7.32,4.7,6.03,5.82,1.13,1.22,1.57,1.52,0.31,0.33,0.43,0.44
NGC4003,-0.00155,-0.00594,9.09,0.19,9.73,4.15,4.68,1.59,6.06,5.79,6.52,2.22,1.13,1.09,1.23,0.45
NGC5157,-0.00149,0.0212,8.82,0.16,9.46,4.08,4.44,2.76,5,4.68,5.1,3.17,1.79,1.69,1.83,1.02
NGC5216,0.000111,-0.0629,7.76,0.09,8.4,4.55,5.34,5.13,171,180,210,202,34.4,35.9,42.1,52.4
NGC5267,-0.00158,0.0522,8.81,0.15,9.45,4.07,4,4.35,3.52,3.29,3.23,3.52,1.02,0.97,0.95,1
NGC5376,-0.00287,0.103,8.56,0.23,9.2,3.71,3.52,2.03,2.4,2.05,1.94,1.12,0.39,0.34,0.32,0.21
NGC5402,-0.00212,-0.00142,8.02,0.19,8.66,4.08,4.58,3.56,0.41,0.38,0.43,0.33,0.1,0.1,0.11,0.08
NGC5631,-0.00529,0.128,7.9,0.43,8.54,4.07,4.41,2.33,1150,1080,1160,615,218,193,213,154
NGC5720,-0.00195,0.00651,9.22,0.11,9.86,4.29,4.9,2.28,2.86,2.83,3.23,1.5,0.79,0.78,0.89,0.4
NGC5888,-0.00332,0.0981,8.98,0.12,9.62,4.04,3.78,3.87,1.92,1.78,1.67,1.71,0.59,0.55,0.52,0.56
NGC5929,0.000127,-0.058,8.83,0.29,9.47,4.22,5.01,0.92,1.22,1.18,1.4,0.26,0.13,0.13,0.15,0.03
NGC5954,-0.0026,0.0669,8.44,0.27,9.08,3.83,3.79,2.7,0.85,0.74,0.73,0.52,0.08,0.08,0.08,0.06
NGC6132,-0.0071,0.0551,8.91,0.22,9.55,3.66,4.32,3.35,0.93,0.78,0.93,0.72,0.22,0.17,0.2,0.16
NGC6150B,-0.00555,0.0667,9.4,0.26,10,3.67,3.78,2.02,2.88,2.42,2.49,1.33,0.35,0.31,0.33,0.17
NGC6154,-0.00313,0.0795,8.81,0.12,9.45,3.95,4.07,3.71,2.5,2.28,2.35,2.14,0.72,0.67,0.69,0.57
NGC6338,-0.001,-0.0277,9.16,0.09,9.8,3.97,4.76,3.29,18.1,16.5,19.7,13.7,3.85,3.46,4.18,2.9
NGC6497,-0.00368,0.0991,9.14,0.18,9.78,3.99,3.92,2.05,4.79,4.4,4.33,2.27,0.99,0.92,0.9,0.5
UGC01659,-0.00234,0.00211,9.09,0.13,9.73,4.37,4.84,2.45,1.74,1.75,1.94,0.98,0.36,0.37,0.41,0.25
UGC01938,-0.0021,-0.032,8.9,0.2,9.54,4.33,5.26,3.59,1.21,1.21,1.46,1,0.35,0.35,0.43,0.28
UGC02134,-0.00259,0.0409,9.31,0.05,9.95,3.95,4.25,1.91,4.06,3.69,3.96,1.78,0.51,0.46,0.49,0.23
UGC02222,-0.0000146,-0.0554,8.44,0.21,9.08,4.57,5.25,2.63,330,346,399,199,60.4,62.4,72.3,43.8
UGC02239,-0.00112,-0.0195,8.8,0.07,9.43,4.07,4.76,4.97,3.14,2.94,3.43,3.59,0.41,0.4,0.46,0.57
UGC03960,-0.000335,-0.0486,7.2,0.39,7.84,4.2,4.89,9.25,34.6,33.5,39,73.9,10.2,9.34,10.9,21.4
UGC04136,-0.000849,-0.0188,8.48,0.3,9.12,4.04,4.64,10.7,12.9,12,13.7,31.5,2.68,2.49,2.84,6.19
UGC04245,-0.00392,0.0508,8.93,0.17,9.57,4.1,4.38,2.55,2.08,1.96,2.1,1.22,0.38,0.34,0.37,0.22
UGC04262,-0.002,0.0145,9.39,0.24,10,4.22,4.63,1.59,7.61,7.38,8.12,2.77,1.56,1.49,1.66,0.63
UGC04659,-0.00119,-0.104,7.05,0.19,7.69,4.63,6.49,5.33,2.59,2.77,3.89,3.19,0.52,0.52,0.73,0.93
UGC04730,-0.000281,-0.0814,7.55,0.26,8.18,4.05,5.38,5.53,0.04,0.03,0.05,0.05,0.02,0.01,0.02,0.02
UGC05326,0.00105,-0.212,6.68,0.41,7.32,5.43,8.54,4.45,0.35,0.44,0.69,0.36,0.09,0.12,0.18,0.1
UGC05396,-0.00102,-0.035,8.18,0.17,8.82,4.56,5.26,3.58,0.96,1.01,1.16,0.79,0.39,0.41,0.47,0.26
UGC08004,-0.00271,-0.0222,8.59,0.16,9.23,4.7,5.86,2.7,2.21,2.4,2.98,1.38,0.69,0.74,0.92,0.39
UGC08231,0.00226,-0.262,7.9,0.23,8.54,5.48,8.86,3.5,1.32,1.67,2.7,1.07,0.24,0.3,0.48,0.24
UGC08234,-0.00092,-0.0075,8.73,0.11,9.36,3.97,4.32,6.99,324,295,321,520,83.1,74.3,81.3,135
UGC08322,-0.00178,0.0165,8.89,0.17,9.53,4.11,4.61,3.31,9.9,9.36,10.5,7.52,2.62,2.47,2.74,1.75
UGC08733,-0.00101,-0.0859,8.05,0.35,8.68,4.61,6.12,2.3,3.08,3.27,4.33,1.63,0.51,0.54,0.71,0.32
UGC08781,-0.000444,-0.0299,9.32,0.1,9.96,4.27,4.79,2.24,6.48,6.36,7.14,3.34,1.56,1.51,1.69,0.82
UGC09598,-0.00398,0.0602,8.8,0.16,9.44,4.24,4.59,3,3.01,2.93,3.17,2.08,0.87,0.86,0.92,0.53
UGC09629,-0.000801,-0.0171,8.47,0.13,9.11,4.19,4.7,6.08,11.5,11,12.4,16,2.54,2.43,2.75,4.02
UGC10097,0.00022,-0.0642,8.63,0.33,9.27,2.97,3.75,3.49,6.9,4.71,5.94,5.52,1.77,1.25,1.59,1.54
UGC10905,-0.000319,-0.0306,8.58,0.12,9.21,3.95,4.56,3.53,32.6,29.6,34.3,26.5,8.58,7.53,8.83,7.12
CGCG163-062,-0.000584,-0.0603,7.9,0.2,8.54,4.63,5.49,3.55,1.33,1.41,1.67,1.08,0.44,0.47,0.56,0.32
CGCG536-030,-0.0014,-0.0512,9.75,0.26,10.4,4.65,5.63,0.71,11.2,11.9,14.5,1.83,1.1,1.18,1.43,0.21
IC0674,-0.00283,0.0177,9.17,0.16,9.8,4.22,4.73,5.12,34,33,37,40.1,7.54,7.34,8.27,9.28
IC3598,-0.000973,-0.0178,8.14,0.16,8.78,3.65,3.99,5.45,3.71,3.11,3.41,4.65,1.53,1.34,1.47,1.54
Mrk1418,0.00509,-0.276,6.18,0.19,6.82,5.37,8.43,2.21,0.19,0.23,0.37,0.1,0.11,0.13,0.2,0.04
