galname,Havfield,rotnoHa+,rotnoHa-,flat,block,session
NGC0001,v1,v4,v4,v2,v3,1+36+38+55
NGC0014,v1,v4,v4,v2,v3,57
NGC0169,v1,v4,v4,v2,v3,2
NGC0495,v1,v4,v4,v2,v3,6+56
NGC0776,v1,v4,v4,v2,v3,4+37+40
NGC0932,v1,v4,v4,v2,v3,2+55+57
NGC1056,v1,v4,v4,v2,v3,56
NGC2449,v1,v4,v4,v2,v3,2+33
NGC2540,v1,v4,v4,v2,v3,7+48+59
NGC2596,v1,v4,v4,v2,v3,all5
NGC2691,v1,v4,v4,v2,v3,5+37+40
NGC3057,v1,v4,v4,v2,v3,8
NGC3106,v1,v4,v4,v2,v3,7+48
NGC3353,v1,v4,v4,v2,v3,42+63
NGC3395,v1,v4,v4,v2,v3,17+33
NGC3406NED01,v1,v4,v4,v2,v3,44+62
NGC3614,v1,v4,v4,v2,v3,14+48+50
NGC3619,v1,v4,v4,v2,v3,15+67
NGC3896,v1,v4,v4,v2,v3,42+60
NGC4003,v1,v4,v4,v2,v3,8+14+32+46
NGC5157,v1,v4,v4,v2,v3,43+60
NGC5216,v1,v4,v4,v2,v3,25
NGC5267,v1,v4,v4,v2,v3,19+50
NGC5376,v1,v4,v4,v2,v3,19+33+34+60
NGC5402,v1,v4,v4,v2,v3,45+50
NGC5631,v1,v4,v4,v2,v3,18+65
NGC5720,v1,v4,v4,v2,v3,14+49+53
NGC5888,v1,v4,v4,v2,v3,20+21+67
NGC5929,v1,v4,v4,v2,v3,51+62+64
NGC5954,v1,v4,v4,v2,v3,20+46
NGC5987,v1,v4,v4,v2,v3,21+62+64
NGC6132,v1,v4,v4,v2,v3,18+49+67
NGC6150B,v1,v4,v4,v2,v3,51+66
NGC6154,v1,v4,v4,v2,v3,51+66
NGC6338,v1,v4,v4,v2,v3,69
NGC6497,v1,v4,v4,v2,v3,52+65
UGC01659,v1,v4,v4,v2,v3,1+55+58
UGC01938,v1,v4,v4,v2,v3,56+58
UGC02134,v1,v4,v4,v2,v3,4+34+58
UGC02222,v1,v4,v4,v2,v3,10
UGC02239,v1,v4,v4,v2,v3,1+2+33
UGC03960,v1,v4,v4,v2,v3,41
UGC04054,v1,v4,v4,v2,v3,11+34+37
UGC04136,v1,v4,v4,v2,v3,2+22+33+40
UGC04245,v1,v4,v4,v2,v3,8+32+35+37
UGC04258,v1,v4,v4,v2,v3,2+55
UGC04262,v1,v4,v4,v2,v3,2+34+37
UGC04425,v1,v4,v4,v2,v3,44
UGC04659,v1,v4,v4,v2,v3,3+66
UGC04730,v1,v4,v4,v2,v3,5+8+33+34
UGC05326,v1,v4,v4,v2,v3,7+66
UGC05396,v1,v4,v4,v2,v3,51+59
UGC08004,v1,v4,v4,v2,v3,15+34+47
UGC08231,v1,v4,v4,v2,v3,24+51+59
UGC08234,v1,v4,v4,v2,v3,44+45
UGC08322,v1,v4,v4,v2,v3,21+41+54
UGC08733,v1,v4,v4,v2,v3,17+18+68
UGC08781,v1,v4,v4,v2,v3,44+46+68
UGC09598,v1,v4,v4,v2,v3,12+13+43
UGC09629,v1,v4,v4,v2,v3,13+42
UGC09777,v1,v4,v4,v2,v3,15+18
UGC10097,v1,v4,v4,v2,v3,23+49+67
UGC10905,v1,v4,v4,v2,v3,23+24+54
UGC8909,v1,v4,v4,v2,v3,61+64+69
UGC9663,v1,v4,v4,v2,v3,23+24+51+63
UGC9837,v1,v4,v4,v2,v3,24+50+64+65
CGCG163-062,v1,v4,v4,v2,v3,15+47+54
CGCG536-030,v1,v4,v4,v2,v3,6+10
IC0674,v1,v4,v4,v2,v3,18+34+53
IC3598,v1,v4,v4,v2,v3,17+33+62+65
Mrk1418,v1,v4,v4,v2,v3,41+67
