galname,logd25,PA,INC,vmaxg,maskat,method,version
NGC6338,1.24,16,66,150,2.00E-04, Havfield,1
NGC6338,1.24,16,66,150,2.00E-04, flat,2
NGC6338,1.24,16,66,150,2.00E-04, block,3
NGC6338,1.24,16,66,150,2.00E-04, rotnoHa,4
NGC2596,1.14,63.9,74.2,203.2,1.00E-02, Havfield,1
NGC2596,1.14,63.9,74.2,203.2,1.00E-02, flat,2
NGC2596,1.14,63.9,74.2,203.2,1.00E-02, block,3
NGC2596,1.14,63.9,74.2,203.2,1.00E-02, rotnoHa,4
NGC5929,0.96,38.2,24.4,111.8,2.00E-03, Havfield,1
NGC5929,0.96,38.2,24.4,111.8,2.00E-03, flat,2
NGC5929,0.96,38.2,24.4,111.8,2.00E-03, block,3
NGC5929,0.96,38.2,24.4,111.8,2.00E-03, rotnoHa,4
UGC08322,1.05,36.1,73,238.1,2.00E-04, Havfield,1
UGC08322,1.05,36.1,73,238.1,2.00E-04, flat,2
UGC08322,1.05,36.1,73,238.1,2.00E-04, block,3
UGC08322,1.05,36.1,73,238.1,2.00E-04, rotnoHa,4
IC3598,1.15,139.1,76,225.8,2.00E-04, Havfield,1
IC3598,1.15,139.1,76,225.8,2.00E-04, flat,2
IC3598,1.15,139.1,76,225.8,2.00E-04, block,3
IC3598,1.15,139.1,76,225.8,2.00E-04, rotnoHa,4
