Galaxy,logd25,PA,INC,vmaxg,session,mask (blockpref),mask (datapref),tdep (blockpref),tdep (datapref),logSFR,logMst,dSFMS,MS?,Type,e_tdep (blockpref),e_tdep (datapref),Mmol (blockpref),e_Mmol (blockpref),Mmol (datapref),e_Mmol (datapref),SFR_block,SFR_33Myr,SFR_12Myr,Distance (Mpc),error_add_m2mean (%),error_add_m2med (%),error_add_m1mean (%),error_add_m1med (%),Mmol_T24 (datapref),eMmol_T24 (datapref),tdep_T24 (datapref),etdep_T24 (datapref),Mmol_B13_Z (datapref),eMmol_B13_Z (datapref),tdep_B13_Z (datapref),etdep_B13_Z (datapref),Mmol_SL24 (datapref),eMmol_SL24 (datapref),tdep_SL24 (datapref),etdep_SL24 (datapref),L_CO (datapref),L_CO (blockpref)
NGC0001,1.2,110.47,48.84,146,1+36+38+55,block,Havexpand,2.58E+00,2.10E+00,0.713557831,10.87838409,0.242066715,TRUE,MS,4.27E-01,2.79E-01,9.78E+09,1.62E+09,7.95E+09,1.06E+09,3.79E+00,2.28E+00,3.08E+00,6.41E+01,6.51E+01,6.12E+01,4.55E+01,4.80E+01,3.57E+09,5.49E+08,9.41E-01,1.45E-01,6.90E+09,9.57E+08,1.82E+00,2.52E-01,6.66E+09,9.50E+08,1.76E+00,2.51E-01,1.83E+09,2.25E+09
NGC0014,1.18,23.1,55.7,35.2,57,block,Havexpand,6.84E+00,9.46E-01,-1.324099626,8.728855013,-0.054472187,TRUE,MS,2.28E+00,2.54E-01,2.38E+08,7.96E+07,3.30E+07,8.86E+06,3.49E-02,7.25E-02,1.09E-01,1.20E+01,4.52E+02,4.59E+02,4.50E+02,4.59E+02,4.50E+07,1.25E+07,1.29E+00,3.57E-01,3.68E+07,9.85E+06,1.05E+00,2.83E-01,4.83E+07,1.29E+07,1.39E+00,3.70E-01,7.58E+06,5.48E+07
NGC0169,1.18,92.5,69.8,278,2,flat,Havexpand,6.25E+00,8.82E+00,0.560569926,11.34107882,-0.285703915,TRUE,MS,8.58E-01,1.04E+00,1.19E+10,1.63E+09,1.68E+10,1.98E+09,1.90E+00,2.52E+00,1.98E+00,6.53E+01,1.09E+02,8.35E+01,3.66E+01,5.13E+01,6.20E+09,8.13E+08,3.25E+00,4.27E-01,1.41E+10,1.82E+09,7.39E+00,9.56E-01,1.97E+10,2.45E+09,1.03E+01,1.29E+00,3.86E+09,2.74E+09
NGC0776,1.13,50,18.3,60,4+37+40,block,Havexpand,3.11E+00,2.56E+00,0.567263567,11.01567134,-0.015430223,TRUE,MS,6.22E-01,4.58E-01,9.09E+09,1.81E+09,7.46E+09,1.34E+09,2.92E+00,1.75E+00,2.74E+00,6.94E+01,5.49E+01,5.47E+01,1.63E+01,3.25E+01,3.89E+09,7.92E+08,1.33E+00,2.71E-01,6.62E+09,1.16E+09,2.27E+00,3.98E-01,6.49E+09,1.15E+09,2.22E+00,3.94E-01,1.72E+09,2.09E+09
NGC0932,1.3,40,24.4,90,55+57,block,Havexpand,1.60E+01,7.05E+00,-0.457713375,11.06271598,-1.078513322,FALSE,RG,3.17E+00,1.31E+00,6.88E+09,1.36E+09,3.04E+09,5.64E+08,4.31E-01,3.15E-01,3.47E-01,5.77E+01,1.06E+02,6.97E+01,8.65E+01,6.17E+01,1.31E+09,2.75E+08,3.04E+00,6.38E-01,2.79E+09,5.11E+08,6.48E+00,1.19E+00,3.18E+09,5.82E+08,7.38E+00,1.35E+00,6.98E+08,1.58E+09
NGC1056,1.27,162.5,46.7,124.2,56,block,Havexpand,1.79E+00,6.07E-01,0.152226461,10.3060942,0.144290162,TRUE,MS,3.61E-01,1.04E-01,1.92E+09,3.87E+08,6.51E+08,1.12E+08,1.07E+00,7.46E-01,1.38E+00,2.19E+01,2.31E+02,1.99E+02,2.22E+02,1.99E+02,3.09E+08,5.65E+07,2.88E-01,5.27E-02,6.01E+08,1.08E+08,5.60E-01,1.00E-01,7.19E+08,1.28E+08,6.70E-01,1.19E-01,1.50E+08,4.41E+08
NGC2449,1.16,135.5,73.7,101,2+33,block,Havexpand,8.36E+00,6.56E+00,0.02078313,10.93857589,-0.49946334,TRUE,MS,1.52E+00,1.09E+00,5.71E+09,1.04E+09,4.48E+09,7.42E+08,6.83E-01,1.28E+00,1.73E+00,6.96E+01,6.03E+01,4.90E+01,1.42E+01,1.97E+00,2.00E+09,3.90E+08,2.92E+00,5.71E-01,4.29E+09,7.00E+08,6.28E+00,1.03E+00,4.30E+09,7.10E+08,6.30E+00,1.04E+00,1.03E+09,1.31E+09
NGC2540,1.094,123.3,60.4,153,7+48+59,block,Havexpand,3.99E+00,2.45E+00,0.521871543,10.63183229,0.25008739,TRUE,MS,7.69E-01,4.72E-01,1.12E+10,2.17E+09,6.90E+09,1.33E+09,2.82E+00,3.26E+00,4.81E+00,8.94E+01,1.06E+02,7.66E+01,3.03E+01,3.59E+00,3.01E+09,6.90E+08,1.07E+00,2.45E-01,6.86E+09,1.31E+09,2.43E+00,4.64E-01,7.28E+09,1.38E+09,2.58E+00,4.90E-01,1.59E+09,2.59E+09
NGC2596,1.14,63.9,74.2,203.2,all5,block,Havexpand,1.23E+00,1.17E+00,0.665142265,10.86531079,0.204240527,TRUE,MS,2.71E-01,1.86E-01,7.08E+09,1.57E+09,6.75E+09,1.07E+09,5.77E+00,5.56E+00,1.09E+01,8.45E+01,1.08E+02,9.93E+01,9.97E+01,9.93E+01,6.23E+09,9.30E+08,1.08E+00,1.61E-01,4.71E+09,7.74E+08,8.18E-01,1.34E-01,5.45E+09,8.95E+08,9.46E-01,1.55E-01,1.55E+09,1.63E+09
NGC2691,1.1,166,47.9,182,5+37+40,block,Havexpand,4.62E+00,2.46E+00,0.330294958,10.59496136,0.088376255,TRUE,MS,8.14E-01,3.87E-01,6.91E+09,1.21E+09,3.67E+09,5.77E+08,1.49E+00,1.32E+00,1.58E+00,5.61E+01,8.14E+01,6.36E+01,6.09E+01,5.80E+01,1.18E+09,2.10E+08,7.92E-01,1.41E-01,3.42E+09,5.48E+08,2.29E+00,3.67E-01,3.52E+09,5.71E+08,2.36E+00,3.82E-01,8.43E+08,1.59E+09
